City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
289,Pangnirtung,CA,66.1451,-65.7125,14.0,79,90,0.0,light snow,2021-12-19 21:17:15
290,Snezhnogorsk,RU,69.1933,33.2531,1.18,73,100,18.19,light snow,2021-12-19 21:17:15
291,Coxim,BR,-18.5067,-54.76,85.12,77,98,2.46,heavy intensity rain,2021-12-19 21:17:15
292,Alvorada,BR,-12.48,-49.1247,78.73,84,100,0.43,overcast clouds,2021-12-19 21:17:16
293,Conakry,GN,9.538,-13.6773,84.27,65,4,11.5,haze,2021-12-19 21:17:16
294,Bom Jesus,BR,-9.0744,-44.3586,77.79,83,92,5.79,overcast clouds,2021-12-19 21:17:16
295,Shubarshi,KZ,48.5872,57.1869,30.99,77,100,12.73,overcast clouds,2021-12-19 21:17:17
296,Sokoto,NG,13.0609,5.239,68.58,22,56,10.83,broken clouds,2021-12-19 21:17:17
297,Piacabucu,BR,-10.4056,-36.4344,80.26,77,100,13.0,overcast clouds,2021-12-19 21:17:17
298,Harrisburg,US,40.2737,-76.8844,39.74,56,1,8.01,clear sky,2021-12-19 21:12:47
299,Narsaq,GL,60.9167,-46.05,39.88,46,100,26.51,overcast clouds,2021-12-19 21:17:18
300,Kaniama,CD,-7.5667,24.1833,66.49,95,74,0.96,broken clouds,2021-12-19 21:17:18
301,Mari-Turek,RU,56.7895,49.6235,19.31,95,100,8.43,overcast clouds,2021-12-19 21:17:18
302,Nokaneng,BW,-19.6667,22.2667,73.69,65,98,5.59,overcast clouds,2021-12-19 21:17:19
303,Bairiki,KI,1.3292,172.9752,84.2,74,40,13.8,scattered clouds,2021-12-19 21:17:19
304,Caravelas,BR,-17.7125,-39.2481,73.22,94,100,6.04,overcast clouds,2021-12-19 21:17:19
305,Bethel,US,41.3712,-73.414,36.48,62,1,1.99,clear sky,2021-12-19 21:17:20
306,Mount Gambier,AU,-37.8333,140.7667,59.04,66,96,12.33,overcast clouds,2021-12-19 21:17:20
307,Kamaishi,JP,39.2667,141.8833,34.39,73,45,7.45,scattered clouds,2021-12-19 21:17:21
308,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,73,20,11.5,few clouds,2021-12-19 21:17:21
309,Goya,AR,-29.14,-59.2626,102.49,18,72,4.14,broken clouds,2021-12-19 21:17:21
310,Fuyu,CN,45.1833,124.8167,15.46,88,100,9.6,overcast clouds,2021-12-19 21:17:21
311,Ilebo,CD,-4.3167,20.5833,73.83,95,100,1.36,moderate rain,2021-12-19 21:17:22
312,Dingle,PH,10.9995,122.6711,75.04,92,30,6.85,scattered clouds,2021-12-19 21:17:22
313,Lebu,CL,-37.6167,-73.65,61.39,80,14,16.17,few clouds,2021-12-19 21:17:22
314,Tazmalt,DZ,36.3868,4.3989,50.77,65,28,4.63,scattered clouds,2021-12-19 21:17:23
315,Zverinogolovskoye,RU,54.4586,64.8542,22.26,95,100,11.25,overcast clouds,2021-12-19 21:17:23
316,Aljezur,PT,37.3191,-8.8033,59.9,86,100,14.74,overcast clouds,2021-12-19 21:17:23
317,Fairbanks,US,64.8378,-147.7164,17.6,87,90,3.44,snow,2021-12-19 21:13:21
318,Zyryanka,RU,65.75,150.85,-43.58,100,97,8.3,overcast clouds,2021-12-19 21:17:24
319,Henties Bay,NA,-22.116,14.2845,63.86,84,40,4.79,scattered clouds,2021-12-19 21:17:24
320,Maridi,SS,4.9158,29.4742,75.63,43,48,3.42,scattered clouds,2021-12-19 21:17:25
321,Buala,SB,-8.145,159.5921,81.86,81,92,5.97,light rain,2021-12-19 21:17:25
322,Mayumba,GA,-3.432,10.6554,77.99,91,80,3.96,broken clouds,2021-12-19 21:17:25
323,Mlandizi,TZ,-6.7,38.7333,75.22,96,37,2.21,scattered clouds,2021-12-19 21:17:26
324,Paamiut,GL,61.994,-49.6678,44.4,40,100,29.35,overcast clouds,2021-12-19 21:17:26
325,Murygino,RU,58.7383,49.4582,14.23,97,99,5.84,overcast clouds,2021-12-19 21:17:26
326,Samarai,PG,-10.6167,150.6667,81.5,76,100,7.85,overcast clouds,2021-12-19 21:17:27
327,San Ramon,US,37.7799,-121.978,55.38,79,90,3.44,mist,2021-12-19 21:15:40
328,Weyburn,CA,49.6668,-103.8511,7.02,72,98,20.71,overcast clouds,2021-12-19 21:17:27
329,Lompoc,US,34.6391,-120.4579,65.7,74,1,13.8,clear sky,2021-12-19 21:17:27
330,Chengde,CN,40.9725,117.9361,24.28,53,0,3.44,clear sky,2021-12-19 21:17:28
331,Te Anau,NZ,-45.4167,167.7167,64.56,64,62,12.75,broken clouds,2021-12-19 21:17:28
332,Smithers,CA,54.7804,-127.1743,-0.08,85,75,6.91,broken clouds,2021-12-19 21:17:28
333,Santa Maria,BR,-29.6842,-53.8069,92.89,37,0,9.66,clear sky,2021-12-19 21:17:29
334,Mitu,CO,1.1983,-70.1733,81.37,91,100,2.48,overcast clouds,2021-12-19 21:16:07
335,Tilichiki,RU,60.4667,166.1,-19.61,98,64,6.35,broken clouds,2021-12-19 21:17:29
336,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,84,75,10.36,broken clouds,2021-12-19 21:12:59
337,Sardarshahr,IN,28.4333,74.4833,52.52,15,43,2.06,scattered clouds,2021-12-19 21:17:30
338,Sorland,NO,67.667,12.6934,33.87,58,100,26.17,light rain,2021-12-19 21:17:30
339,Benguela,AO,-12.5763,13.4055,75.96,79,86,5.59,overcast clouds,2021-12-19 21:17:31
340,Hami,CN,42.8,93.45,23.13,51,8,1.12,clear sky,2021-12-19 21:17:31
341,Bontang,ID,0.1333,117.5,76.8,86,100,4.34,overcast clouds,2021-12-19 21:17:31
342,Almaznyy,RU,48.0448,40.045,37.54,96,100,25.3,light rain,2021-12-19 21:17:32
343,Coahuayana,MX,18.7333,-103.6833,81.88,49,100,5.64,overcast clouds,2021-12-19 21:17:32
344,Waddan,LY,29.1614,16.139,47.79,55,2,6.11,clear sky,2021-12-19 21:17:32
345,Sulina,RO,45.1559,29.6536,38.43,77,100,6.93,overcast clouds,2021-12-19 21:17:32
346,Cabedelo,BR,-6.9811,-34.8339,81.27,73,86,10.69,overcast clouds,2021-12-19 21:17:33
347,Pingzhuang,CN,42.0372,119.2889,31.26,41,0,17.49,clear sky,2021-12-19 21:17:33
