City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,Bengkulu,-3.8004,102.2655,82.87,66,100,10.2,ID,2021-12-19 04:23:06
111,Ribeira Grande,38.5167,-28.7,60.8,76,100,30.2,PT,2021-12-19 04:23:07
112,Songjianghe,42.1859,127.479,15.57,57,100,10.07,CN,2021-12-19 04:23:07
113,Hay River,60.8156,-115.7999,-13.02,77,75,9.22,CA,2021-12-19 04:23:07
114,Banda Aceh,5.5577,95.3222,75.78,89,100,8.55,ID,2021-12-19 04:23:08
115,Payakumbuh,-0.2202,100.6308,72.63,94,100,2.62,ID,2021-12-19 04:23:08
116,Talnakh,69.4865,88.3972,-28.03,90,90,0.36,RU,2021-12-19 04:23:08
117,Cape Town,-33.9258,18.4232,64.11,94,0,2.3,ZA,2021-12-19 04:20:02
118,Mnogovershinnyy,53.9353,139.9242,-10.25,81,20,6.44,RU,2021-12-19 04:23:09
119,Kaitangata,-46.2817,169.8464,76.64,43,56,11.99,NZ,2021-12-19 04:23:09
120,Mar Del Plata,-38.0023,-57.5575,66.87,91,100,17.0,AR,2021-12-19 04:23:09
121,General Roca,-39.0333,-67.5833,73.8,19,0,6.4,AR,2021-12-19 04:23:10
122,Papagaios,-19.4492,-44.7478,67.19,95,99,10.36,BR,2021-12-19 04:23:10
123,Narsaq,60.9167,-46.05,44.82,94,100,5.46,GL,2021-12-19 04:23:10
124,Evensk,61.95,159.2333,-11.49,79,100,7.99,RU,2021-12-19 04:23:11
125,Lima,-12.0432,-77.0282,66.9,78,20,13.8,PE,2021-12-19 04:23:11
126,Leopold,-38.1833,144.4667,63.46,77,90,14.0,AU,2021-12-19 04:23:11
127,Dikson,73.5069,80.5464,-25.92,95,69,5.55,RU,2021-12-19 04:23:12
128,Bredasdorp,-34.5322,20.0403,62.28,88,99,1.14,ZA,2021-12-19 04:23:12
129,Khandyga,62.6667,135.6,-40.86,98,95,0.92,RU,2021-12-19 04:23:12
130,Houma,29.5958,-90.7195,64.4,93,100,8.01,US,2021-12-19 04:23:13
131,Cayenne,4.9333,-52.3333,81.09,86,40,5.99,GF,2021-12-19 04:23:13
132,San Policarpo,12.1791,125.5072,81.95,85,94,10.11,PH,2021-12-19 04:23:13
133,Baruun-Urt,46.6806,113.2792,13.05,77,17,10.94,MN,2021-12-19 04:23:14
134,Buchanan,5.8808,-10.0467,78.06,88,16,3.62,LR,2021-12-19 04:23:14
135,Natal,-5.795,-35.2094,80.82,78,40,9.22,BR,2021-12-19 04:23:14
136,Lata,40.1629,-8.3327,51.82,77,11,6.15,PT,2021-12-19 04:23:15
137,Lebu,-37.6167,-73.65,55.71,93,9,17.13,CL,2021-12-19 04:23:15
138,Beringovskiy,63.05,179.3167,33.04,99,100,13.04,RU,2021-12-19 04:23:15
139,Sitka,57.0531,-135.33,28.29,86,1,5.75,US,2021-12-19 04:23:16
140,Bethel,41.3712,-73.414,44.51,91,90,4.61,US,2021-12-19 04:18:48
141,Rio Gallegos,-51.6226,-69.2181,59.05,55,0,11.5,AR,2021-12-19 04:21:35
142,Longyearbyen,78.2186,15.6401,22.84,80,0,2.3,SJ,2021-12-19 04:23:16
143,Pevek,69.7008,170.3133,-14.96,92,100,2.37,RU,2021-12-19 04:23:17
144,Isangel,-19.55,169.2667,84.31,74,75,4.61,VU,2021-12-19 04:23:17
145,Richards Bay,-28.783,32.0377,63.09,79,57,5.23,ZA,2021-12-19 04:23:17
146,Batemans Bay,-35.7167,150.1833,79.92,65,100,15.99,AU,2021-12-19 04:23:18
147,Hirara,24.8,125.2833,68.27,45,20,12.66,JP,2021-12-19 04:23:18
148,Chernyshevskiy,63.0128,112.4714,-36.04,98,96,3.56,RU,2021-12-19 04:23:18
149,Pekin,39.9075,116.3972,39.09,27,0,0.89,CN,2021-12-19 04:18:54
150,Rundu,-17.9333,19.7667,67.06,86,100,8.61,NA,2021-12-19 04:23:19
151,Manta,-0.95,-80.7333,73.18,88,90,3.44,EC,2021-12-19 04:23:19
152,Tornio,65.8481,24.1466,19.42,94,49,4.72,FI,2021-12-19 04:23:19
153,Hilo,19.7297,-155.09,73.27,43,90,5.75,US,2021-12-19 04:18:47
154,Caravelas,-17.7125,-39.2481,74.17,95,100,5.03,BR,2021-12-19 04:23:20
155,Bathsheba,13.2167,-59.5167,79.41,78,40,21.85,BB,2021-12-19 04:23:20
156,Roebourne,-20.7833,117.1333,103.69,18,4,9.95,AU,2021-12-19 04:23:21
157,Ust-Koksa,50.2696,85.6108,19.76,77,100,0.83,RU,2021-12-19 04:23:21
158,Gualeguay,-33.1416,-59.3097,66.65,58,0,8.03,AR,2021-12-19 04:23:21
159,Chirongui,-12.9319,45.1483,80.53,75,11,2.51,YT,2021-12-19 04:23:22
160,Salihli,38.4826,28.1477,43.5,96,100,1.01,TR,2021-12-19 04:23:22
161,Saint-Philippe,-21.3585,55.7679,83.79,72,43,3.09,RE,2021-12-19 04:23:22
162,Stillwater,36.1156,-97.0584,30.94,69,1,6.91,US,2021-12-19 04:20:00
163,Jerantut,3.936,102.3626,71.46,98,100,1.72,MY,2021-12-19 04:23:23
164,Avarua,-21.2078,-159.775,80.65,69,40,8.05,CK,2021-12-19 04:21:01
165,Aguimes,27.9054,-15.4461,61.66,72,20,3.44,ES,2021-12-19 04:23:23
166,Kawalu,-7.3817,108.2082,86.68,61,94,3.6,ID,2021-12-19 04:23:23
167,Zhezkazgan,47.8043,67.7144,21.18,93,75,6.71,KZ,2021-12-19 04:23:24
168,Sinop,41.7711,34.8709,31.6,95,99,2.93,TR,2021-12-19 04:23:24
169,Saskylakh,71.9167,114.0833,-15.97,98,98,5.28,RU,2021-12-19 04:23:25
170,Palana,59.1167,159.9667,5.16,86,100,1.48,RU,2021-12-19 04:23:25
171,Juegang,32.3174,121.1855,48.43,26,21,7.05,CN,2021-12-19 04:23:25
172,Asau,46.4333,26.4,35.4,89,89,6.78,RO,2021-12-19 04:23:26
173,Kozan,37.4552,35.8157,47.3,94,100,7.49,TR,2021-12-19 04:23:26
174,Akcakoca,41.0866,31.1162,42.35,82,100,10.51,TR,2021-12-19 04:23:26
175,Mayo,38.8876,-76.5119,63.34,94,90,1.01,US,2021-12-19 04:23:27
176,Pisco,-13.7,-76.2167,66.25,82,0,5.75,PE,2021-12-19 04:20:38
177,Hithadhoo,-0.6,73.0833,82.13,72,98,1.57,MV,2021-12-19 04:23:27
178,Noumea,-22.2763,166.4572,84.18,99,59,17.98,NC,2021-12-19 04:23:27
179,Ouango,4.3133,22.5552,69.4,88,100,1.19,CF,2021-12-19 04:23:28
180,Tiruchchendur,8.4833,78.1167,86.29,70,88,17.2,IN,2021-12-19 04:23:28
181,Pitimbu,-7.4706,-34.8086,79.39,76,23,9.37,BR,2021-12-19 04:23:28
182,Mont-De-Marsan,44.0,-0.6667,44.44,97,90,0.0,FR,2021-12-19 04:23:29
183,Tefe,-3.3542,-64.7114,74.86,98,100,1.05,BR,2021-12-19 04:23:29
184,Riyadh,24.6877,46.7219,60.94,40,95,8.16,SA,2021-12-19 04:23:29
185,Kaduna,10.5222,7.4383,61.79,25,29,11.16,NG,2021-12-19 04:23:30
186,Qaqortoq,60.7167,-46.0333,45.1,93,100,9.82,GL,2021-12-19 04:23:30
187,Soyo,-6.1349,12.3689,76.77,92,100,6.96,AO,2021-12-19 04:23:31
188,Berbera,10.4396,45.0143,74.62,75,59,4.61,SO,2021-12-19 04:23:31
189,Margate,51.3813,1.3862,44.31,93,100,1.99,GB,2021-12-19 04:23:31
190,Buala,-8.145,159.5921,81.95,81,99,6.55,SB,2021-12-19 04:23:32
